nome,uva,tipo,país,região,teor_alcoolico,acidez,corpo,doçura,intensidade_sabor,harmonizacoes
Cerasuolo d'Abruzzo,Montepulciano,rosé,Itália,Abruzzo,12.5,7,4,2,6,arrosticini;frutos do mar;pecorino
Rosato di Toscana,Sangiovese,rosé,Itália,Toscana,12.5,8,4,1,6,bruschetta;peixe;pecorino
Navarra Rosado,Garnacha,rosé,Espanha,Navarra,13.0,7,4,2,6,tapas;paella;manchego
Porto Vintage,Touriga Nacional,tinto,Portugal,Douro,20.0,6,10,8,10,queijos azuis;chocolate;nozes
Porto Tawny 20 anos,Touriga Nacional,tinto,Portugal,Douro,20.0,6,9,7,9,sobremesas;queijos duros;amêndoas
Madeira Malmsey,Malvasia,branco,Portugal,Madeira,19.0,8,8,9,9,sobremesas;queijos azuis;nozes
Sauternes,Sémillon,branco,França,Bordeaux,13.5,7,8,10,9,foie gras;roquefort;sobremesas
Tokaji Aszú 5 Puttonyos,Furmint,branco,Hungria,Tokaj,11.0,9,6,9,8,foie gras;queijos azuis;sobremesas
Eiswein,Riesling,branco,Alemanha,Rheingau,8.0,9,4,10,8,sobremesas;queijos azuis;frutas
Vin Santo,Trebbiano,branco,Itália,Toscana,16.0,7,7,9,8,biscotti;queijos azuis;sobremesas
Montepulciano d'Abruzzo,Montepulciano,tinto,Itália,Abruzzo,13.0,7,7,0,7,pizza;pasta;pecorino
Primitivo di Manduria,Primitivo,tinto,Itália,Puglia,14.5,6,9,2,9,carne grelhada;massas ricas;queijos duros
Nero d'Avola Sicilia,Nero d'Avola,tinto,Itália,Sicília,13.5,7,8,1,8,arancini;cordeiro;pecorino siciliano
Cannonau di Sardegna,Grenache,tinto,Itália,Sardenha,14.0,6,8,1,8,porco assado;cordeiro;pecorino sardo
Sagrantino di Montefalco,Sagrantino,tinto,Itália,Umbria,14.5,8,10,0,10,javali;carne de caça;queijos curados
Taurasi DOCG,Aglianico,tinto,Itália,Campânia,13.5,8,9,0,9,ragu napolitano;carne;caciocavallo
Teroldego Rotaliano,Teroldego,tinto,Itália,Trentino,12.5,7,7,0,7,speck;carne;asiago
Lagrein Dunkel,Lagrein,tinto,Itália,Alto Adige,13.0,7,7,0,7,canederli;veado;queijos alpinos
Corvina Veronese,Corvina,tinto,Itália,Veneto,12.5,7,6,1,6,risoto;frango;monte veronese
Frappato di Vittoria,Frappato,tinto,Itália,Sicília,12.0,8,5,0,6,peixe-espada;tomate;ragusano
Dão Reserva,Touriga Nacional,tinto,Portugal,Dão,13.5,7,8,0,8,cabrito;arroz de pato;queijo da serra
Alentejo Reserva,Aragonez,tinto,Portugal,Alentejo,14.0,6,8,1,8,porco preto;migas;queijos alentejanos
Bairrada Reserva,Baga,tinto,Portugal,Bairrada,13.0,8,7,0,7,leitão;chanfana;queijo rabaçal
Touriga Nacional,Touriga Nacional,tinto,Portugal,Douro,14.0,7,9,0,9,carne vermelha;queijos curados;enchidos
Tinta Roriz,Tempranillo,tinto,Portugal,Douro,13.5,7,8,0,8,arroz de cabidela;cozido;queijo serra da estrela
Encruzado Dão,Encruzado,branco,Portugal,Dão,13.0,8,6,1,7,bacalhau;polvo;queijo da serra
Arinto Bucelas,Arinto,branco,Portugal,Bucelas,12.5,9,5,0,6,marisco;peixe grelhado;queijo fresco
Fernão Pires,Fernão Pires,branco,Portugal,Tejo,12.0,7,4,2,6,cataplana;açorda;queijos suaves
Carmenère Gran Reserva,Carménère,tinto,Chile,Colchagua Valley,14.5,6,8,1,8,cordeiro;empanadas;queijo curado
Syrah Limarí,Syrah,tinto,Chile,Limarí Valley,14.0,7,8,0,8,carne;cordeiro;queijos defumados
Pinot Noir Casablanca,Pinot Noir,tinto,Chile,Casablanca Valley,13.0,8,6,0,7,pato;cogumelos;queijos suaves
Cabernet Sauvignon Maipo,Cabernet Sauvignon,tinto,Chile,Maipo Valley,13.5,6,8,0,8,asado;chorizo;queijos chilenos
Malbec Luján de Cuyo,Malbec,tinto,Argentina,Luján de Cuyo,14.5,6,9,0,9,asado;empanadas;queijos argentinos
Bonarda Argentina,Bonarda,tinto,Argentina,Mendoza,13.5,6,7,1,7,pizza;pasta;provolone
Torrontés Cafayate,Torrontés,branco,Argentina,Cafayate,13.5,8,5,2,7,empanadas;ceviche;queijos suaves
Cabernet Franc Mendoza,Cabernet Franc,tinto,Argentina,Mendoza,13.5,7,7,0,7,cordeiro;vegetais grelhados;queijos duros
Tannat Cafayate,Tannat,tinto,Argentina,Salta,14.5,7,9,0,9,churrasco;morcilla;queijos intensos
Pinotage Western Cape,Pinotage,tinto,África do Sul,Western Cape,14.0,6,8,1,8,bobotie;churrasco;gouda
Chenin Blanc Stellenbosch,Chenin Blanc,branco,África do Sul,Stellenbosch,13.0,8,5,2,6,frutos do mar;frango;queijos suaves
Shiraz McLaren Vale,Shiraz,tinto,Austrália,McLaren Vale,14.5,6,9,1,9,carne;canguru;cheddar envelhecido
Cabernet Sauvignon Coonawarra,Cabernet Sauvignon,tinto,Austrália,Coonawarra,14.0,6,9,0,9,cordeiro;bife;queijos duros
Chardonnay Margaret River,Chardonnay,branco,Austrália,Margaret River,13.5,7,7,1,7,lagosta;frango;brie
Semillon Hunter Valley,Sémillon,branco,Austrália,Hunter Valley,11.0,9,5,0,7,ostras;peixe;queijos leves
